metric,class,electrode,mean_rho_distance_vs_metric,std_rho_across_subjects,t_vs_0,p_vs_0,n_subjects
wPLI,L,P4,-0.3622291021671826,0.31902401964160093,-3.0040625876422293,0.01982787157492815,8
wPLI,L,P8,-0.2649638802889577,0.19432006510131714,-3.6075972560721383,0.00865181257767049,8
wPLI,L,O1,-0.4236326109391125,0.3940705439138582,-2.844228154355225,0.024893359792399462,8
wPLI,L,O2,-0.3292053663570692,0.3690261643004808,-2.360254133469798,0.05032247058103279,8
wPLI,R,FP1,0.4442724458204334,0.29943547666999415,3.9255014772171513,0.005708554744364087,8
wPLI,R,FP2,0.6341589267285861,0.09313546819551545,18.014907148942203,4.013392676178297e-07,8
wPLI,R,F7,0.141124871001032,0.1931077927782804,1.933538295388757,0.09442916468396274,8
wPLI,R,F3,0.2742518059855521,0.31973085790444666,2.2694152200503472,0.057527075244810634,8
wPLI,R,Fz,0.5725437787536898,0.19870687692768008,7.623331797574216,0.00012385595988079952,8
wPLI,R,F4,0.25232198142414863,0.2524348632462616,2.644568204955513,0.03320248693145007,8
wPLI,R,F8,0.1568627450980392,0.37465564495597786,1.1077367152684778,0.30458113076899485,8
wPLI,R,T7,0.08359183173112426,0.46308121182744205,0.4775905235372078,0.647494136769865,8
wPLI,R,C3,-0.17542839243645142,0.2963789853671216,-1.5660351178804717,0.16132214423699304,8
wPLI,R,Cz,0.02478175080831683,0.1320148756274297,0.49665879985086336,0.6346449457992872,8
wPLI,R,C4,-0.20248708912960145,0.23340133618544193,-2.295318828477688,0.05537176013524921,8
wPLI,R,T8,-0.11304923147563176,0.33885456875386877,-0.8826800048511437,0.40669854860340143,8
wPLI,R,P7,-0.28818369453044373,0.2814755117155136,-2.7088054054307125,0.030251228085498138,8
wPLI,R,P3,-0.32791537667698656,0.18897833690856009,-4.590910005632914,0.002511064826216572,8
wPLI,R,Pz,-0.2815414501544799,0.24878512625271396,-2.9941044791744877,0.020109172622083497,8
wPLI,R,P4,-0.3748710010319917,0.18570529423388007,-5.340803268706923,0.0010748181986010917,8
wPLI,R,P8,-0.2324561403508772,0.2059707580653963,-2.985963366232195,0.020342289394184043,8
wPLI,R,O1,-0.42672858617131065,0.41922084543934146,-2.6931335323945524,0.030945035640690954,8
wPLI,R,O2,-0.33488132094943235,0.29851821737421497,-2.968035591751907,0.020865797848861375,8
Coh,L,FP1,-0.7706398348813209,0.2237743577297997,-9.11150577832419,3.937116714935337e-05,8
Coh,L,FP2,-0.8323013415892673,0.09263096039410189,-23.772422917152806,5.924146976025057e-08,8
Coh,L,F7,-0.8235294117647058,0.061574546502275715,-35.38562839104619,3.736405461036978e-09,8
Coh,L,F3,-0.7463880288957688,0.23121322474221462,-8.540848423422153,5.9888737015547855e-05,8
Coh,L,Fz,-0.8266910398203728,0.21457578002364888,-10.193223588463912,1.8855724441359252e-05,8
Coh,L,F4,-0.7827657378740971,0.1970773263618959,-10.508583181374304,1.5412484810758065e-05,8
Coh,L,F8,-0.8472652218782251,0.03907966197886788,-57.3611172178487,1.284045698914657e-10,8
Coh,L,T7,-0.8262283831847601,0.11251567197141822,-19.42835864327552,2.387209339289273e-07,8
Coh,L,C3,-0.8219888292096161,0.11623603081861734,-18.710016225136442,3.0938517473075063e-07,8
Coh,L,Cz,-0.8576067593559004,0.04007175109643529,-56.62378473262116,1.405517447613066e-10,8
Coh,L,C4,-0.8530610167998363,0.08963327945720424,-25.180237934882957,3.976670446255646e-08,8
Coh,L,T8,-0.8664093100292418,0.0776257740710183,-29.530186273327857,1.3155532295823721e-08,8
Coh,L,P7,-0.8464912280701754,0.05330452143923681,-42.01529656399458,1.1286928966722659e-09,8
Coh,L,P3,-0.9153766769865841,0.043084882858922806,-56.21134102152119,1.4791680690294477e-10,8
Coh,L,Pz,-0.9477786558919405,0.03192426484836806,-78.54798327653027,1.4265855822266818e-11,8
Coh,L,P4,-0.9089267285861713,0.0862280669332887,-27.88876254965808,1.9573280676803484e-08,8
Coh,L,P8,-0.8769349845201238,0.059854965123213554,-38.762897618207774,1.9796176803467692e-09,8
Coh,L,O1,-0.8913828689370485,0.05286314121988929,-44.61288791638046,7.426924361377195e-10,8
Coh,L,O2,-0.8955108359133127,0.07463903029840321,-31.743431803948315,7.958727854312533e-09,8
Coh,R,FP1,-0.7703818369453044,0.18659298292998924,-10.923448047792588,1.1917518582699096e-05,8
Coh,R,FP2,-0.8475232198142415,0.09220854895719718,-24.318088673340856,5.062532532404992e-08,8
Coh,R,F7,-0.8015995872033024,0.055087845928784275,-38.49911215504259,2.0761264760548733e-09,8
Coh,R,F3,-0.7298761609907121,0.21746012271332413,-8.880114596466411,4.6540876676925185e-05,8
Coh,R,Fz,-0.8193075567006985,0.21517311938432812,-10.074139597494167,2.03769414433124e-05,8
Coh,R,F4,-0.7938596491228069,0.2090042856128597,-10.049340382227603,2.0710974308667697e-05,8
Coh,R,F8,-0.8756449948400413,0.02366278532053271,-97.90643247373342,3.055697045811229e-12,8
Coh,R,T7,-0.82441959548115,0.11565154573943759,-18.860182210844343,2.92831513365236e-07,8
Coh,R,C3,-0.8094304867252355,0.12361260156066368,-17.324704313564354,5.247562981662274e-07,8
Coh,R,Cz,-0.8589249375903852,0.035224721745213086,-64.51439974950712,5.6481737291052865e-11,8
Coh,R,C4,-0.8630300103183652,0.08468675499381277,-26.962454535596798,2.4746293069535697e-08,8
Coh,R,T8,-0.8644713232039454,0.07617786632413304,-30.02415592755984,1.1722690838866657e-08,8
Coh,R,P7,-0.8428792569659442,0.04972270200108059,-44.84971269538673,7.157536739921994e-10,8
Coh,R,P3,-0.9040247678018576,0.04599025790538124,-52.00720377710175,2.545882161241729e-10,8
Coh,R,Pz,-0.9493298484547752,0.03215374366516005,-78.11503124917594,1.4828041975874107e-11,8
Coh,R,P4,-0.913828689370485,0.08443275630522999,-28.63537279595638,1.6291795627033433e-08,8
Coh,R,P8,-0.881578947368421,0.06305239422952051,-36.99207118632962,2.742333665219743e-09,8
Coh,R,O1,-0.8862229102167183,0.052270534648924886,-44.857498442472625,7.148871893622295e-10,8
Coh,R,O2,-0.8942208462332301,0.0765954116766212,-30.888090089409133,9.624097868725903e-09,8
imCoh,L,FP1,0.45330237358101133,0.19981353019827053,6.002222912635535,0.0005410577840123544,8
imCoh,L,FP2,0.47703818369453044,0.2440697292325779,5.171163191380349,0.0012934251586968338,8
imCoh,L,F7,0.1906604747162023,0.26116209843958643,1.9315214725358762,0.09470995754052934,8
imCoh,L,F3,0.36455108359133126,0.2378834709340824,4.054554541240272,0.004842821841850248,8
imCoh,L,Fz,0.4812217506945605,0.24768241103314234,5.140425888548725,0.0013381068589072402,8
imCoh,L,F4,0.29024767801857587,0.23611519490762914,3.25232425194626,0.014012196383408082,8
imCoh,L,F8,0.1697626418988648,0.4515842462062265,0.9946089487111901,0.3530564747647156,8
imCoh,L,T7,0.32622778225825166,0.36596670086246724,2.3584593368231843,0.05045552288531248,8
imCoh,L,C3,0.0682293452501918,0.12793840654018782,1.4109748943298706,0.20111451082238735,8
imCoh,L,Cz,0.25783566266525376,0.11268195886318119,6.053933117759291,0.0005139526822558256,8
imCoh,L,C4,-0.004660828138533038,0.20913990627292334,-0.058962406448046824,0.9546299968554506,8
