subject,metric,feature_type,i_idx,j_idx,i_label,j_label,cv,kl
21,ImagPLV,edges,1,15.0,FP2,P4,1.3200524385274466,1.1006477885990584
21,ImagPLV,edges,3,9.0,F3,Cz,1.0082112129727694,0.7169529252388449
21,ImagPLV,edges,3,10.0,F3,C4,1.3740689840835523,0.7750983526418374
21,ImagPLV,edges,3,13.0,F3,P3,1.120372844035717,1.0488394226722455
21,ImagPLV,edges,5,13.0,F4,P3,1.2759591444380418,0.7074406924720937
21,ImagPLV,edges,5,14.0,F4,Pz,1.1812519934301324,0.8982786801112284
21,ImagPLV,edges,6,7.0,F8,T7,1.4086917560824412,0.8923144691861798
21,ImagPLV,edges,6,10.0,F8,C4,1.3316265095062436,0.6729724879164385
21,ImagPLV,edges,6,15.0,F8,P4,1.206655952375284,0.7069202531703217
21,ImagPLV,edges,7,10.0,T7,C4,1.4652445545100252,0.6987873871951603
21,ImagPLV,edges,7,11.0,T7,T8,0.9592577183829424,0.6625374856530692
21,ImagPLV,edges,8,15.0,C3,P4,1.0692510019894648,0.9702419916627277
21,ImagPLV,edges,10,14.0,C4,Pz,1.5174174181761118,0.7832132147525399
21,ImagPLV,ns,0,,FP1,,0.3797970467199613,0.8796587356250029
21,ImagPLV,ns,3,,F3,,0.3845901998561233,1.0782025295072342
31,ImagPLV,edges,0,9.0,FP1,Cz,1.5987083350138924,0.7803095388738048
31,ImagPLV,edges,0,14.0,FP1,Pz,1.4925280631235829,0.7569810237272582
31,ImagPLV,edges,1,7.0,FP2,T7,1.3706056016811767,0.7763674478513107
31,ImagPLV,edges,1,8.0,FP2,C3,1.6201658446555753,0.9495532727500466
31,ImagPLV,edges,1,9.0,FP2,Cz,1.5747459373099049,1.7426418587089838
31,ImagPLV,edges,2,13.0,F7,P3,1.8156590721983807,1.1906324029193522
31,ImagPLV,edges,3,13.0,F3,P3,1.4012854069507064,0.9203863447246357
31,ImagPLV,edges,4,15.0,Fz,P4,1.4329354957424245,0.8009605530795634
31,ImagPLV,edges,4,16.0,Fz,P8,1.6428502300319408,0.9925139688448061
31,ImagPLV,edges,5,10.0,F4,C4,1.6181895509821764,0.819433303780998
31,ImagPLV,edges,5,14.0,F4,Pz,1.4759642430770339,1.4631778785716056
31,ImagPLV,edges,5,15.0,F4,P4,1.267008265163811,0.7699673097482485
31,ImagPLV,edges,6,7.0,F8,T7,1.7066212335194222,0.8504377437255446
31,ImagPLV,edges,8,12.0,C3,P7,1.146048156808309,0.7393117775057199
31,ImagPLV,edges,8,13.0,C3,P3,1.2742836989724937,0.7306597500279465
31,ImagPLV,edges,8,17.0,C3,O1,1.5959869228616186,0.9766196450755581
31,ImagPLV,edges,10,14.0,C4,Pz,1.7196898131293563,0.7637441023171281
31,ImagPLV,ns,4,,Fz,,0.4290289336480403,0.9181172669069745
31,ImagPLV,ns,14,,Pz,,0.42435866194415994,1.7009318365256396
34,ImagPLV,edges,3,12.0,F3,P7,2.4864984138143544,0.7944758332300422
34,ImagPLV,edges,4,16.0,Fz,P8,1.8305193578169519,0.8579902921530651
34,ImagPLV,edges,4,18.0,Fz,O2,1.7645609924338954,0.8491685258831592
