subject,metric,feature_type,n_features_valid,stability_percentile,kl_percentile,stable_count,highKL_count,stable_and_highKL_count,mean_cv_edges,mean_cv_ns,mean_kl_edges,mean_kl_ns,cv,kl,frac_sd,rank_frac_sd,rank_kl,rank_cv,borda_score_subject,subject_rank
39,Coh,ns,19,30.0,70.0,6,6,2,0.21600100437015188,0.11057594481474181,0.906001148101728,1.004676677584102,0.11057594481474181,1.004676677584102,0.10526315789473684,3.0,2.0,1.0,6.0,1.0
1,imCoh,edges,171,30.0,70.0,52,52,21,15.902690538292447,0.5068723757481777,0.6201530102218916,0.4614859099208003,15.902690538292447,0.6201530102218916,0.12280701754385964,3.0,2.0,9.0,14.0,4.0
1,imCoh,ns,19,30.0,70.0,6,6,1,15.902690538292447,0.5068723757481777,0.6201530102218916,0.4614859099208003,0.5068723757481777,0.4614859099208003,0.05263157894736842,5.0,4.0,8.0,17.0,7.0
2,imCoh,edges,171,30.0,70.0,52,52,14,40.38455643798828,0.5206217951990549,0.4985661627374197,0.474630645956309,40.38455643798828,0.4985661627374197,0.08187134502923976,5.0,6.0,9.0,20.0,8.0
2,imCoh,ns,19,30.0,70.0,6,6,2,40.38455643798828,0.5206217951990549,0.4985661627374197,0.474630645956309,0.5206217951990549,0.474630645956309,0.10526315789473684,5.0,7.0,8.0,20.0,7.0
5,imCoh,edges,171,30.0,70.0,52,52,15,32.30684469298111,0.6512925287979632,0.606606394853245,0.5242796343547583,32.30684469298111,0.606606394853245,0.08771929824561403,4.0,6.0,9.0,19.0,8.0
5,imCoh,ns,19,30.0,70.0,6,6,0,32.30684469298111,0.6512925287979632,0.606606394853245,0.5242796343547583,0.6512925287979632,0.5242796343547583,0.0,9.0,6.0,8.0,23.0,9.0
9,imCoh,edges,171,30.0,70.0,52,52,14,12.59788870019199,0.408532699835343,0.6638948144874327,0.5469336831455024,12.59788870019199,0.6638948144874327,0.08187134502923976,5.0,3.0,8.0,16.0,6.0
9,imCoh,ns,19,30.0,70.0,6,6,2,12.59788870019199,0.408532699835343,0.6638948144874327,0.5469336831455024,0.408532699835343,0.5469336831455024,0.10526315789473684,3.0,5.0,8.0,16.0,6.0
21,imCoh,edges,171,30.0,70.0,52,52,11,11.75657325580897,0.4576795374548831,0.5454103700890126,0.5035619442234849,11.75657325580897,0.5454103700890126,0.06432748538011696,7.0,7.0,9.0,23.0,9.0
21,imCoh,ns,19,30.0,70.0,6,6,3,11.75657325580897,0.4576795374548831,0.5454103700890126,0.5035619442234849,0.4576795374548831,0.5035619442234849,0.15789473684210525,2.0,6.0,9.0,17.0,7.0
31,imCoh,edges,171,30.0,70.0,52,52,16,6.665081186024965,0.44662984672464046,0.5536697834765738,0.5309570277954571,6.665081186024965,0.5536697834765738,0.0935672514619883,3.0,5.0,8.0,16.0,7.0
31,imCoh,ns,19,30.0,70.0,6,6,2,6.665081186024965,0.44662984672464046,0.5536697834765738,0.5309570277954571,0.44662984672464046,0.5309570277954571,0.10526315789473684,5.0,5.0,8.0,18.0,9.0
34,imCoh,edges,171,30.0,70.0,52,52,20,17.04328027221545,0.36970947423900447,0.606369322744055,0.6880636033060574,17.04328027221545,0.606369322744055,0.11695906432748537,1.0,5.0,9.0,15.0,5.0
34,imCoh,ns,19,30.0,70.0,6,6,1,17.04328027221545,0.36970947423900447,0.606369322744055,0.6880636033060574,0.36970947423900447,0.6880636033060574,0.05263157894736842,7.0,4.0,9.0,20.0,9.0
39,imCoh,edges,171,30.0,70.0,52,52,13,8.838134861825848,0.4063309633647658,0.676051753626604,0.6464419604625743,8.838134861825848,0.676051753626604,0.07602339181286549,5.0,6.0,9.0,20.0,7.0
